data,cotacao_venda,cotacao_compra,cotacao_media
2023-10-18,5.0568,5.0562,5.0565
2023-10-19,5.054,5.0534,5.0537
2023-10-20,5.0528,5.0522,5.0525
2023-10-23,5.0164,5.0158,5.0161
2023-10-24,5.0065,5.0059,5.0062
2023-10-25,4.9981,4.9975,4.9978
2023-10-26,5.0055,5.0049,5.0052
2023-10-27,4.948,4.9474,4.9477
2023-10-30,5.0074,5.0068,5.007099999999999
2023-10-31,5.0575,5.0569,5.0572
2023-11-01,5.0194,5.0188,5.0191
2023-11-03,4.891,4.8904,4.8907
2023-11-06,4.8999,4.8993,4.8995999999999995
2023-11-07,4.867,4.8664,4.8667
2023-11-08,4.8855,4.8849,4.8852
2023-11-09,4.9007,4.9001,4.900399999999999
2023-11-10,4.9219,4.9213,4.9216
2023-11-13,4.9247,4.924,4.9243500000000004
2023-11-14,4.8682,4.8676,4.867900000000001
2023-11-16,4.8575,4.8569,4.857200000000001
2023-11-17,4.8849,4.8843,4.8846
2023-11-20,4.8723,4.8717,4.872
2023-11-21,4.8806,4.88,4.8803
2023-11-22,4.8968,4.8962,4.8965
2023-11-23,4.8931,4.8925,4.892799999999999
2023-11-24,4.8927,4.8921,4.8924
2023-11-27,4.8951,4.8945,4.8948
2023-11-28,4.8867,4.8861,4.8864
2023-11-29,4.8933,4.8927,4.893
2023-11-30,4.9355,4.9349,4.9352
2023-12-01,4.9191,4.9185,4.9188
2023-12-04,4.9091,4.9085,4.908799999999999
2023-12-05,4.9522,4.9516,4.9519
2023-12-06,4.9031,4.9025,4.9028
2023-12-07,4.8949,4.8943,4.8946000000000005
2023-12-08,4.9158,4.9152,4.9155
2023-12-11,4.944,4.9434,4.9437
2023-12-12,4.9476,4.947,4.9473
2023-12-13,4.958,4.9573,4.95765
2023-12-14,4.8912,4.8906,4.8909
2023-12-15,4.9397,4.9391,4.9394
2023-12-18,4.9399,4.9393,4.9396
2023-12-19,4.8663,4.8657,4.866
2023-12-20,4.8766,4.876,4.8763000000000005
2023-12-21,4.8755,4.8749,4.8751999999999995
2023-12-22,4.8619,4.8613,4.8616
2023-12-26,4.8368,4.8362,4.8365
2023-12-27,4.8306,4.83,4.830299999999999
2023-12-28,4.8413,4.8407,4.841
2023-12-29,4.8413,4.8407,4.841
